Number:0, mass:1, radius:0.001
time,x,y,z
4.99, 2.70002e+06, 49480.7, 3.36053e+06
5, 2.12489e+06, -60396.5, 3.17666e+06
5.01, 1.53976e+06, -162166, 2.9828e+06
5.02, 944638, -253935, 2.77893e+06
5.03, 339511, -335704, 2.56506e+06
5.04, -273546, -407473, 2.3412e+06
5.05, -879572, -469242, 2.10733e+06
5.06, -1.4756e+06, -521012, 1.86346e+06
5.07, -2.06163e+06, -562781, 1.6096e+06
5.08, -2.63765e+06, -594550, 1.34573e+06
5.09, -3.20368e+06, -616319, 1.07186e+06
5.1, -3.75971e+06, -628088, 787997
5.11, -4.30573e+06, -629858, 494130
5.12, -4.84176e+06, -621627, 190263
5.13, -5.36779e+06, -603396, -121963
5.14, -5.88381e+06, -575165, -427730
5.15, -6.38984e+06, -536934, -723497
5.16, -6.88587e+06, -488704, -1.00926e+06
5.17, -7.37189e+06, -430473, -1.28503e+06
5.18, -7.84792e+06, -362242, -1.5508e+06
5.19, -8.31395e+06, -284011, -1.80656e+06
5.2, -8.76997e+06, -195780, -2.05233e+06
5.21, -9.216e+06, -97549.7, -2.2881e+06
5.22, -9.65203e+06, 10571.1, -2.51386e+06
5.23, -1.00781e+07, 116702, -2.72963e+06
5.24, -1.04941e+07, 212833, -2.9354e+06
5.25, -1.09001e+07, 298964, -3.13116e+06
5.26, -1.12961e+07, 375094, -3.31693e+06
5.27, -1.16822e+07, 441225, -3.4927e+06
5.28, -1.20582e+07, 497356, -3.65846e+06
5.29, -1.24242e+07, 543487, -3.81423e+06
5.3, -1.27802e+07, 579618, -3.96e+06
5.31, -1.31263e+07, 605748, -4.09576e+06
5.32, -1.34623e+07, 621879, -4.22153e+06
5.33, -1.37883e+07, 628010, -4.3373e+06
5.34, -1.41043e+07, 624141, -4.44306e+06
5.35, -1.44104e+07, 610272, -4.53883e+06
5.36, -1.47064e+07, 586402, -4.6246e+06
5.37, -1.49924e+07, 552533, -4.70036e+06
5.38, -1.52685e+07, 508664, -4.76613e+06
5.39, -1.55345e+07, 454795, -4.8219e+06
5.4, -1.57905e+07, 390926, -4.86766e+06
5.41, -1.60365e+07, 317056, -4.90343e+06
5.42, -1.62726e+07, 233187, -4.9292e+06
5.43, -1.64986e+07, 139318, -4.94496e+06
5.44, -1.67146e+07, 35448.8, -4.95073e+06
5.45, -1.69206e+07, -73728.4, -4.9465e+06
5.46, -1.71167e+07, -173898, -4.93226e+06
5.47, -1.73027e+07, -264067, -4.90803e+06
5.48, -1.74787e+07, -344236, -4.8738e+06
5.49, -1.76447e+07, -414405, -4.82956e+06
5.5, -1.78008e+07, -474574, -4.77533e+06
5.51, -1.79468e+07, -524744, -4.7111e+06
5.52, -1.80828e+07, -564913, -4.63686e+06
5.53, -1.82089e+07, -595082, -4.55263e+06
5.54, -1.83249e+07, -615251, -4.4584e+06
5.55, -1.84309e+07, -625420, -4.35416e+06
5.56, -1.85269e+07, -625590, -4.23993e+06
5.57, -1.8613e+07, -615759, -4.1157e+06
5.58, -1.8689e+07, -595928, -3.98146e+06
5.59, -1.8755e+07, -566097, -3.83723e+06
5.6, -1.8811e+07, -526266, -3.683e+06
