t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
287.061,12.2524,,,2.50572183616859,287.061,,6.27864192025207,82404.017721,719.29501601239
288.062,12.2444,,,2.50506868961194,288.062,,6.27536913967409,82979.715844,721.615096866995
289.061,12.2349,,,2.50429252358784,289.061,,6.27148104369794,83556.261721,723.893301160824
290.061,12.2263,,,2.5035893691756,290.061,,6.26795972944907,84135.383721,726.193636012443
291.062,12.2187,,,2.50296756510566,291.062,,6.26484663197093,84717.087844,728.518745434782
292.062,12.209,,,2.50217338468672,292.062,,6.26087164703459,85300.211844,730.789763078372
293.061,12.2005,,,2.50147693450596,293.061,,6.25738685386535,85884.749721,733.085331903252
294.062,12.1917,,,2.50075539234234,294.062,,6.25377753232928,86472.459844,735.377132182973
295.062,12.184,,,2.50012361559286,295.062,,6.25061809324512,87061.583844,737.691474264061
296.061,12.1746,,,2.4993518142195,296.061,,6.24675949124229,87652.115721,739.960597469638
297.062,12.166,,,2.49864517589851,297.062,,6.24322771504092,88245.831844,742.252533242764
298.061,12.158,,,2.49798738932653,298.061,,6.23994099723438,88840.359721,744.552619250055
299.061,12.1496,,,2.49729624743392,299.061,,6.23648854744755,89437.481721,746.843913053836
300.062,12.1411,,,2.49659639108174,300.062,,6.23299353996239,90037.203844,749.13370630077
301.061,12.133,,,2.49592901306974,301.061,,6.22966163828327,90637.725721,751.426884603788
302.062,12.1246,,,2.49523644658865,302.062,,6.22620492438437,91241.451844,753.716111529462
303.062,12.1157,,,2.49450213221136,303.062,,6.22254088760704,91846.575844,755.98880519224
304.061,12.1079,,,2.49385813212305,304.061,,6.21932838315629,92453.091721,758.284997511468
305.061,12.0989,,,2.4931145393793,305.061,,6.21562010646448,93062.213721,760.55201449759
306.061,12.0905,,,2.49242002026451,306.061,,6.21215755741536,93673.335721,762.832563822178
307.061,12.0821,,,2.49172501845767,307.061,,6.20869356760785,94286.457721,765.111575892629
308.061,12.074,,,2.49105438037423,308.061,,6.20535192598166,94901.579721,767.396703472467
309.062,12.0649,,,2.49030041060502,309.062,,6.20159613505951,95519.319844,769.657225502408
310.061,12.0565,,,2.48960393358962,310.061,,6.19812774614492,96137.823721,771.929085252732
311.061,12.0493,,,2.48900656696299,311.061,,6.1951536903849,96758.945721,774.232871726076
312.061,12.0395,,,2.48819291077915,312.061,,6.19110396125162,97382.067721,776.467967930653
313.062,12.0312,,,2.48750327563527,313.062,,6.18767254629618,98007.815844,778.742750476928
314.062,12.0227,,,2.48679652950646,314.062,,6.18415697916539,98634.939844,781.008291649859
315.061,12.0142,,,2.48608928353429,315.061,,6.18063992570402,99263.433721,783.269775759596
316.061,12.0065,,,2.48544816980623,316.061,,6.17745260479315,99894.555721,785.553233997127
317.061,11.9976,,,2.48470662978533,317.061,,6.17376703609919,100527.677721,787.803568746368
318.062,11.9895,,,2.48403126675205,318.062,,6.17041133420178,101163.435844,790.075952765689
319.061,11.9825,,,2.48344725205165,319.061,,6.16751025372289,101799.921721,792.371163686851
320.061,11.9727,,,2.48262905804394,320.061,,6.16344703984415,102439.043721,794.592738946602
